DESCRIPCION DE VEHICULO,DIAS USADOS,DURACION DE VIAJE,DISTANCIA DE VIAJE (km),RPM MAXIMO,VELOCIDAD MAXIMA (km/h)
ECO-021,26,294:25:32,1518,0,85
ECO-024,24,353:22:52,1010.25,0,71
ECO-047,27,335:06:42,1845844.45,0,73
ECO-048,26,244:49:23,1690373.04,0,82
ECO-051,28,266:50:15,2028.71,0,83
ECO-052,22,159:41:47,1532.37,0,78
ECO-053,24,225:19:20,1337,0,68
ECO-056,0,,0,0,7
ECO-057,24,226:51:52,1563,0,80
ECO-058,15,68:43:43,459,0,79
ECO-168,26,335:04:07,2152.65,0,91
ECO-169,26,167:00:22,1506,0,69
ECO-170,26,155:55:51,1060,0,73
ECO-171,26,375:32:00,1966.36,0,80
ECO-172,27,237:10:34,2186.78,0,90
ECO-174,26,280:55:18,2338,0,85
ECO-175,26,257:12:53,1455,0,67
ECO-176,27,274:22:39,2319,0,76
ECO-177,26,288:07:00,2117.39,0,75
ECO-180,26,194:21:53,1523,0,86
ECO-181,26,261:23:27,1935602.57,0,82
ECO-185,5,05:02:49,30,0,60
ECO-186,26,219:42:46,1382,0,81
ECO-187,23,227:16:54,1308.11,0,79
ECO-188,26,288:46:48,1973,0,86
ECO-189,15,149:53:04,984.55,0,72
ECO-191,26,266:02:14,1866.34,0,76
ECO-194,27,207:00:31,1198,0,81
ECO-195,26,324:30:16,2057.25,0,75
ECO-329,0,,0,0,0
ECO-330,26,165:21:53,1692,0,68
ECO-342,26,261:54:50,1686.44,0,68
ECO-346,29,303:51:26,2110.28,0,69
ECO-347,26,294:34:50,1671,0,83
ECO-348,0,,0,0,0
ECO-355,27,352:06:42,2989,0,94
ECO-356,29,384:24:45,2542.01,0,79
ECO-357,28,350:54:47,1723,0,77
ECO-358,26,200:29:09,1565,0,100
ECO-359,30,288:39:59,2235,0,85
ECO-360,9,86:40:21,509,0,67
ECO-381,29,217:00:58,2190,0,82
ECO-382,29,265:26:15,3042,0,76
ECO-437,19,42:55:45,389,0,114
ECO-438,27,174:32:48,1396,0,72
ECO-439,28,257:05:34,2135.48,0,102
ECO-440,25,183:07:34,1231,0,101
ECO-441,26,135:35:18,1040,0,82
ECO-442,28,223:06:12,1938.96,0,112
ECO-50,27,259:09:16,1455,0,79
