DESCRIPCION DE VEHICULO,PLACA,NUM DE VIAJES,DISTANCIA TOTAL(km),DISTANCIA PROMEDIO (KM),DURACION TOTAL,DURACION PROMEDIO,ULTIMA FECHA CONOCIDA ODOMETRO,ULTIMA LECTURA CONOCIDA ODOMETRO
ECO-021,XW66373,98,1518,15,12d 06:25:32,03:00:15,20160513T1941,6499
ECO-024,XK77508,83,989,12,14d 08:09:36,04:08:47,20160513T1958,5974
ECO-047,XW66353,464,1848165,3983,13d 22:49:05,00:43:17,20160513T2024,10714057
ECO-048,XV46257,661,1672362,2530,10d 03:06:23,00:22:04,20160513T2036,8529733
ECO-051,XV46240,819,2025,2,11d 02:34:35,00:19:31,20160513T2021,11510
ECO-052,XV46241,632,1534,2,6d 16:00:25,00:15:11,20160513T1938,9729
ECO-053,XV45658,304,1337,4,9d 09:19:20,00:44:28,20160513T2036,6694
ECO-056,XV45573,0,0,0,00:00:00,00:00:00,20161005T1233,7767
ECO-057,XW66360,497,1563,3,9d 10:51:52,00:27:23,20160513T2001,7279
ECO-058,XV46565,302,459,2,2d 20:43:43,00:13:39,20160513T2022,8145
ECO-168,XW66473,502,2141,4,13d 21:39:13,00:39:52,20160513T2035,12866
ECO-169,XW66415,722,1506,2,6d 23:00:22,00:13:52,20160513T2024,7472
ECO-170,XV46552,189,1060,6,6d 11:55:51,00:49:30,20160513T2035,10393
ECO-171,XW66416,220,1962,9,15d 15:05:06,01:42:17,20160513T2034,10197
ECO-172,XW66440,1002,2186,2,9d 20:51:46,00:14:11,20160513T2027,11723
ECO-174,XV45549,749,2338,3,11d 16:55:18,00:22:30,20160513T2035,10151
ECO-175,XW66441,197,1455,7,10d 17:12:53,01:18:20,20160513T2036,7573
ECO-176,XW66438,803,2311,3,11d 09:36:15,00:20:26,20160513T2025,12596
ECO-177,XW66445,612,2117,3,12d 00:04:58,00:28:14,20160513T2036,10944
ECO-180,XW66437,696,1523,2,8d 02:21:53,00:16:45,20160513T2036,8893
ECO-181,XW66444,820,1926480,2349,10d 20:19:38,00:19:02,20160513T2035,7089211
ECO-185,XW56458,50,30,1,05:02:49,00:06:03,20160604T1402,4940
ECO-186,XS36278,423,1382,3,9d 03:42:46,00:31:09,20160513T2014,6578
ECO-187,XV45569,535,1302,2,9d 10:06:51,00:25:21,20160513T2035,7741
ECO-188,XF37827,491,1973,4,12d 00:46:48,00:35:17,20160513T2034,10990
ECO-189,XV45632,148,980,7,6d 05:40:15,01:00:40,20160513T2026,9764
ECO-191,XF37826,855,1863,2,11d 01:31:59,00:18:38,20160513T1609,9427
ECO-194,XU71630,221,1198,5,8d 15:00:31,00:56:12,20160513T1953,7958
ECO-195,XV4583,293,2048,7,13d 11:44:34,01:06:17,20160513T2035,11483
ECO-329,XP71637,0,0,0,00:00:00,00:00:00,20151210T1745,0
ECO-330,XP71636,1233,1692,1,6d 21:21:53,00:08:02,20160513T2026,7559
ECO-342,XP71640,697,1699,2,10d 22:39:47,00:22:36,20160513T2006,8606
ECO-346,1211187,573,2112,4,12d 16:00:09,00:31:49,20160513T2035,14190
ECO-347,Sin Placa,168,1671,10,12d 06:34:50,01:45:12,20160513T2026,7567
ECO-348,S/P,0,0,0,00:00:00,00:00:00,20151210T2103,0
ECO-355,XX21527,282,2989,11,14d 16:06:42,01:14:55,20160513T2035,14455
ECO-356,1211459,430,2542,6,16d 00:24:37,00:53:38,20160513T2035,10406
ECO-357,S/P,112,1723,15,14d 14:54:47,03:07:59,20160513T1939,7908
ECO-358,S/P,436,1565,4,8d 08:29:09,00:27:35,20160513T2035,10590
ECO-359,XX23593,840,2235,3,12d 00:39:59,00:20:37,20160513T2034,10654
ECO-360,1211297,172,509,3,3d 14:40:21,00:30:14,20161104T1851,8743
ECO-381,1211282,552,2190,4,9d 01:00:58,00:23:35,20160513T2029,12159
ECO-382,S/P,649,3042,5,11d 01:26:15,00:24:32,20160513T2035,18806
ECO-437,XX24499,150,389,3,1d 18:55:45,00:17:10,20160513T2023,4346
ECO-438,XX24498,673,1396,2,7d 06:32:48,00:15:33,20160513T1952,6560
ECO-439,XX24463,537,2168,4,10d 19:55:23,00:29:02,20160513T2035,8025
ECO-440,XX24464,380,1231,3,7d 15:07:34,00:28:54,20160513T2029,6783
ECO-441,XX24465,385,1040,3,5d 15:35:18,00:21:07,20160513T1954,6286
ECO-442,XX24497,613,1962,3,9d 08:57:18,00:22:01,20160513T1954,10770
ECO-50,XW66359,207,1455,7,10d 19:09:16,01:15:07,20160513T2030,6550
